Index,Original_Row_Index,TITLE,COMPANY,COMPANY_URL,JOB_DESCRIPTION,REQUIREMENT,LOCATION,SALARY,URL,Data source,Posted_Date,Retrieved_Date,Application_Type
65,64,Senior Data Business Analyst,Infosys,https://hk.indeed.com/cmp/Infosys,"Elicit, analyze, and document business requirements for data and analytics initiatives, ensuring alignment with CDAO strategic objectives. Translate business needs into detailed technical specifications and data models, collaborating with data architects and delivery teams. Validate data solutions against requirements, ensuring accuracy, usability, and compliance with regulatory standards. Partner with regional business heads, Technology, Risk, and Compliance teams to manage stakeholder expectations and resolve conflicts. Conduct impact assessments and provide recommendations for process improvements based on data insights. Deliver transparent reporting on requirement status, project progress, and stakeholder alignment to senior leadership.","Bachelor’s degree in Business Administration, Data Science, Economics, or a related field; certifications (e.g., CBAP, IIBA) are a plus. 7+ years of experience in business analysis or data management, with at least 3 years in a leadership role. Strong expertise in requirement gathering, data mapping, and process optimization within data-centric environments. Proven ability to translate complex business needs into technical solutions and manage stakeholder relationships. Familiarity with data governance, analytics, and regulatory compliance frameworks in the AME region. Understanding of regional market trends, cultural nuances, and business practices in Asia and the Middle East. Excellent analytical, communication, and team leadership skills.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=d388214cacb128c9,indeed,04/11/2025,Not specified,Not specified
68,67,Data Center Operator,SunnyVision Limited,https://www.sunnyvision.com,"To provide professional technical support to clients via email and phone; perform Windows and Linux system operations, monitoring, routine maintenance, troubleshooting and incident handling; document technical procedures as knowledge base and define operation procedures; additional related duties as assigned.","Basic knowledge in system administration and technical support is preferred; hands-on experience in Linux/Windows and KVM/VMWare is an advantage; holder of RHCT/RHCE, LPI, MCSA, MCSE is an advantage; good communication skills, fluent in Chinese and English; problem-solving skills; ability to work on shift duty 7x24 operations; more experienced candidates may be considered as System Engineer.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=a5acd3956bdce62b,indeed,04/11/2025,Not specified,Send full resume with current and expected salary by email to jobs at sunnyvision.com
69,68,Data & Analytics Graduate Programme (Immediate Start),FDM Group HK Limited,https://hk.indeed.com/cmp/Fdm-Group-Hk-Limited,"Join one of tech’s most impactful fields and work on real-world projects that forecast trends, automate processes, and drive business decisions. Roles include Data Engineer, Data Analyst, BI Developer, Automation Engineer, and AI Engineer. You’ll transform raw data into actionable insights while receiving up to 12 weeks of hands-on training, ongoing support, and the chance to work with top global brands.",Bachelor's degree or higher; commitment to a 2.5-year graduate programme; strong problem-solving and analytical skills; good interpersonal and communication skills; proficiency in English and Cantonese preferred; eligibility to work in Hong Kong.,HK,Not specified,https://hk.indeed.com/viewjob?jk=24f8da2c39a6aa68,indeed,04/11/2025,Not specified,Online through company system
70,69,"(Part-time) Customer Service Officer, Digital Banking, Data & Payment Card",FUBON LIFE INSURANCE (HONG KONG) COMPANY LIMITED,https://hk.indeed.com/cmp/Fubon-Life-Insurance-(hong-Kong)-Company-Limited,"To complete customer’s instruction and/or request within an agreed timeframe and strictly in adhere to all regulatory requirements and internal procedure (e.g., SOPs). Perform market research to identify trends, customer preferences, and competitive analysis. Coordinate with respective parties to resolve customer’s feedback / dissatisfaction. Conduct User Acceptance Testing (UAT) to ensure the functionality and usability of our digital banking product and platforms. Collaborate with team members to support various projects and initiatives. Carry out special assignments as assigned by team head and provide administrative support as needed.","HKCEE / HKDSE or above. Fresh graduate is also welcome. 1-year related experience, preferably in Banking industry. Excellent customer-serving manner, a good team player with good communication skills and strong sense of responsibilities. Good command in spoken and written Chinese and English, including Mandarin. Strong problem-solving skill and able to manage multi-tasks.",HK,Not specified,https://hk.indeed.com/viewjob?jk=05e5d0d86db6d4f1,indeed,04/11/2025,Not specified,"Please send your application DIRECTLY to Fubon Bank (Hong Kong) Limited, Human Resources Management Group with full resume quoting the above reference no. through APPLY NOW."
71,70,"Data Platform Technical Lead, Information Technology Group",FUBON LIFE INSURANCE (HONG KONG) COMPANY LIMITED,https://hk.indeed.com/cmp/Fubon-Life-Insurance-(hong-Kong)-Company-Limited,"Conduct comprehensive analyses of data architecture and management solutions to identify and implement enhancements that drive innovation and efficiency. Oversee project management and execution, focusing on operational automation and optimizing the performance of database systems. Actively engage with stakeholders across IT, business units, vendors, and compliance teams to gather requirements and align IT solutions with data usage. Monitor and fine-tune database performance to ensure high availability and reliability. Lead initiatives to optimize ETL (Extract, Transform, Load) processes, ensuring efficient data integration and transformation. Identify current system issues and evaluate new data technologies and tools to enhance data processing capabilities. Serve as the subject matter expert on data analysis tools and methodologies, guiding the project team in leveraging data insights to drive business growth. Develop and implement training programs for team members and stakeholders to enhance their understanding of data analytics tools, fostering a data-driven culture. Ensure all data infrastructure changes comply with organizational policies and standards, maintaining consistency in data governance and adherence to regulations. Perform post-implementation evaluations of data infrastructure changes to measure success and identify opportunities for further enhancements.","University degree or equivalent, with a minimum of 10 years of experience in data analytics, data engineering or data architecture. Exceptional analytical and problem-solving skills, adept at simplifying complex IT processes and delivering data-driven solutions. Strong communication skills, capable of effectively articulating IT findings and recommendations to a diverse audience. Proficiency in capturing and aligning IT business requirements with user needs and organizational objectives. Collaborative approach, working closely with cross-functional IT teams, management, and external partners to ensure unified strategies. Results-oriented mindset, committed to achieving goals efficiently within established timelines and budgets. Expertise in risk management",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
72,71,R&D Senior Business Analyst – HRMS (Ref: JDB/PRD/SBA),Computer And Technologies Resources Limited,https://hk.indeed.com/cmp/Computer-and-Technologies-Resources-Limited,"Assist Product R&D Head in product design, system documentation, and feature prioritization for HR management system; conduct user and system requirements studies; prepare system prototypes and specifications; support project administration in design, testing, implementation, and training; develop test cases, user guides, and training materials; coordinate project actions and client follow-ups to ensure on-track progress.","Degree or Higher Diploma in Computer Science, Information System, Business Administration, or related field; 5 years or above relevant experience; strong communication, analytical, problem-solving, and interpersonal skills; proficient in MS Office; knowledge of Windows Server, Microsoft Dot Net, MS SQL, and HR systems is advantageous; fluent in English and Chinese (Cantonese and Mandarin); candidates with less experience may be considered for Business Analyst role.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=95a3e1c1cd68986d,indeed,04/11/2025,Not specified,"Apply via Company website or by mail with current and expected salary, quoting the employer reference number"
74,73,Quantitative Support Analyst,NumeriX,https://www.numerix.com,"Provide front-line support to clients using Numerix's pricing and risk analytics solutions. Troubleshoot client-reported issues related to quantitative models, analytics configuration, and product usage. Collaborate with internal teams to resolve issues and explain the conceptual framework behind Numerix's analytics.","Bachelor's or Master's degree in a quantitative discipline (e.g., Mathematics, Financial Engineering, Physics, Computer Science); strong analytical and problem-solving skills; solid understanding of financial instruments and derivatives; familiarity with quantitative modeling concepts such as calibration, volatility surfaces, and Monte Carlo simulation; excellent communication skills; ability to work independently in a fast-paced environment. Proficiency in Excel; Python, C++, or scripting languages is a plus.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=b2f08343719bd154,indeed,03/11/2025,Not specified,Not specified
75,74,Chief Financial Officer Group Full Time Analyst - 2026 - Hong Kong,Bank of America,http://careers.bankofamerica.com,"The Chief Financial Officer (CFO) Group is responsible for the overall financial management of Bank of America, including accounting, financial and regulatory reporting, balance sheet management, financial planning and analysis, treasury, investor relations, corporate investments, and tax. This two-year analyst program offers rotational assignments within the CFO organization across areas such as Global Banking and Markets, Treasury, and Global Financial Control. Analysts will participate in financial analysis, forecasting, reporting, system improvement projects, and management accounting, while receiving comprehensive training in technical, business, and leadership skills.","Final year Undergraduate/Master’s student with outstanding academic achievement; major in Accounting, Finance, or Business (or quantitative field); strong Excel skills; Alteryx, Tableau, Workiva experience a plus; fluency in English; effective communication skills; team-oriented; detail-oriented with a ‘Can do’ attitude.","Hong Kong, HK",Not specified,https://bankcampuscareers.tal.net/vx/lang-en-GB/mobile-0/brand-4/xf-6278fe76945d/candidate/so/pm/1/pl/1/opp/12985-Chief-Financial-Officer-Group-Full-Time-Analyst-2026-Hong-Kong/en-GB,indeed,03/11/2025,Not specified,Online application through company career portal
76,75,Data Analyst (12 months contract),Animoca Brands Limited,https://hk.indeed.com/cmp/Animoca-Brands-Limited,"We are seeking a highly motivated Data Analyst to join our Accounting team. The role involves collecting, cleaning, and analyzing financial data from various sources, identifying trends and anomalies, assisting in developing and maintaining data dashboards, collaborating with the accounting team to deliver actionable insights, ensuring data accuracy, and presenting findings clearly.","Bachelor's degree in Data Science or a related field. Proven experience in data analysis, preferably in an accounting or finance environment. Strong analytical, problem-solving, quantitative, and communication skills. Ability to work independently and as part of a team. Ability to manage multiple tasks and prioritize effectively. Positive attitude and eagerness to take on new challenges. Experience with accounting software (e.g., SAP, Oracle) is a plus.",HK,Not specified,https://jobs.lever.co/animocabrands/078ef0eb-863f-4aeb-a948-0f417b7c6f49?lever-source=Indeed,indeed,03/11/2025,Not specified,Not specified
77,76,Assistant Manager Analytics and Strategic Projects,Cathay Pacific,https://www.cathaypacific.com,"The Assistant Manager – Analytics and Strategic Projects is responsible for managing cabin crew roster planning and analytics within the Inflight Service Delivery Department. This role involves providing strategic insights, conducting scenario simulations, supporting roster operations, analyzing KPIs, leading data analytics projects, collaborating with stakeholders on system enhancements, and identifying process improvements to optimize rostering practices and ensure regulatory compliance.","University Degree; at least 3–5 years of relevant airline experience with at least 2 years in data analytics; extensive knowledge of rostering and flight time limitations preferred; strong numerical and analytical skills; proficiency in MS Office (especially Excel, PowerPoint, Word); practical skills in Macros, VBA, and SQL preferred; good communication and organizational skills.","Hong Kong, HK",Not specified,https://careers.cathaypacific.com/en/careers/jobs/hong-kong/assistant-manager-analytics-and-strategic-projects-28826,indeed,03/11/2025,Not specified,Not specified
78,77,Senior Data Analyst,PCCW Global,https://www.pccwglobal.com,"You will be working closely with Sales and Marketing team, Product team and Business Performance team to perform quantitative data analysis on business performance. Utilize advanced analytics, segmentation, and modeling techniques to deliver actionable intelligence and deep insights across the customer base. Identify and execute data analytics initiatives, mine large datasets, build reports and dashboards, and collaborate with IT teams on business intelligence solutions leveraging Cloud, Big Data, and AI technologies.","University degree in Data Science, Statistics, Mathematics, Computer Science or related field. Proficiency in SQL and Python. Strong knowledge of statistical methods and modeling. Experience with data visualization tools like Tableau or Qlik Sense. Familiarity with cloud platforms (AWS, GCP, BigQuery) is a plus. Excellent analytical, problem-solving, and interpersonal skills. Strong command of English and Chinese. Fresh graduates will be considered.","Hong Kong, HK",Not specified,https://job.pccw.com/hkt/job/Hong-Kong-Senior-Data-Anyst-HK/1329714466/,indeed,03/11/2025,Not specified,Not specified
79,78,"AVP, Data Security Specialist, Business Operations",BOC International,http://www.bocintl.com,"Play role as subject matter expert in Data Security and 2nd line of defense in Data Security Risk Management; Establish data security and data security risk management framework and mechanism and develop, implement, and maintain relevant policies and procedures. Ensure compliance with local and international regulations and standards, as well as Head Office's requirements in data security and data security risk management; Protect sensitive and classified data according to regulatory requirements and Head Office standard/framework; Prepare risk assessments and vulnerability analyses to identify potential threats to data security; Conduct data classification and implement measures to minimize and mitigate data security risk; Manage data security incidents, breaches and compliance violations. Responsible to design and implement remedial actions in case of events happened; Collaborate with RMD, IT, business and other stakeholders regionally to ensure data security and data security risk management policies and procedures are implemented; Lead training and awareness programs to educate employee on data security best practices.","Bachelor degree in information Security, Risk management, Computer Science or a related field; Minimum of 7 years of experience in data and 5 years of experience in data security, risk management or related roles, preferably in the banking or financial services industry; Candidates with over 2 years of full time working experience in Hong Kong or overseas is considered as an advantage; Strong in data security and deep understanding of data security risk management; Proven experience in establishing data security risk management framework and data security policies and implement data security related measures; Problem solving leader with excellent communication skills and leadership ability to formulate and remediate the resolution from complex environment; Hold certifications such as CISSP, CISM, CISA, CCIP/A, CIPP/E, CIPM, CIPT are preferred; Proficient in Chinese and English, preferable fluent in Putonghua.",HK,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
80,79,"Senior Associate, Category Planning & Operations (Data analysis/ Project Management/ Product Operation)",Klook,https://www.klookcareers.com,"Drive commercial and service level performance for travel product verticals globally, ranging from attraction tickets, tours & activities to in-destination transportation. Shape business models and roadmaps, lead cross-functional initiatives, collaborate with product and technology teams to improve booking processes, and build data metrics to monitor performance.","Experience in OTA, ecommerce, tech startup, strategy consulting, business analytics, category or brand management, or product management; experience in travel products is a plus; fluent in Chinese and English; strong analytical skills with data-driven decision-making; proven track record in cross-departmental projects; entrepreneurial mindset; globally-minded; team player in a fast-paced, matrix environment.","Hong Kong, SAR",Not specified,https://hk.indeed.com/viewjob?jk=fbb67e1b9dcded23,indeed,03/11/2025,Not specified,Not specified
81,80,"Client Services Manager (Account Growth – Digital, Cloud, AI, Data, Cybersecurity, Infrastructure)",Classy Wheeler,https://www.classywheeler.com.hk/,"Manage and grow client accounts, focusing on renewals, upselling, and cross-selling across the company’s full digital solutions portfolio (cloud, AI, data, cybersecurity, applications, and infrastructure). Act as the primary relationship owner to ensure client satisfaction and build long-term trust. Lead pre-sales activities including solution presentations, workshops, and proposals tailored to client needs. Partner with sales teams to convert pilot projects into long-term contracts and expand account revenue. Oversee solution implementation and ensure smooth deployment, customization, and user adoption. Collaborate with internal teams to design and execute strategies aligned with client business objectives. Monitor account performance, analyze data, and provide actionable insights to improve client outcomes. Represent the company at industry events and conferences.","Minimum 5 years of experience in account management, client servicing, pre-sales, or consultancy roles. Proven track record in growing existing accounts and achieving client satisfaction targets. Strong project management skills with experience in solution delivery and client-facing projects. Excellent communication, presentation, and interpersonal skills with both technical and business stakeholders. Customer-service oriented with ability to translate analytics into actionable business insights. Self-motivated, detail-oriented, and capable of managing multiple priorities under pressure. Collaborative team player with cross-functional and global experience. Willingness to travel as required. Desirable: experience in retail, CPG, or hospitality sectors; knowledge of enterprise applications, CRM, and loyalty management solutions; expertise in BI and analytics tools (e.g., SAS, SPSS, MicroStrategy); understanding of digital transformation, cloud, AI, and cybersecurity.","Quarry Bay, HK",Not specified,https://hk.indeed.com/viewjob?jk=a0178cdb90b,Not specified,Not specified,Not specified,Not specified
84,83,"Data Centre Operator (Overnight shift is required, 7x24)",Automated Systems (HK) Ltd,http://www.asl.com.hk,"Provide daily Data Centre and control room operational support, including system health check, batch job processing, report printing and backup tape handling; work on shift duty for routine operations and administration of clients’ network and systems hosted in Data Centre and control room; perform 1st level troubleshooting and reliable backup management; perform infrastructure monitoring and forwarding alerts.","Diploma holder or above in IT or related disciplines; at least 2 years of relevant working experience; basic knowledge on IT and desktop computer; hard-working, punctuality and positive attitude; able to work on-site, 7x24 shift and overnight shift; candidate with more experience would be considered as Senior; immediately available is preferred.","Chek Lap Kok, HK",Not specified,https://hk.indeed.com/viewjob?jk=f7bdcbe8e88aa3e7,indeed,03/11/2025,Not specified,"Apply through ""Apply Now"" button on the job page"
86,85,Operation Trainee (Data Center),China Telecom Global Limited,https://www.chinatelecomglobal.com,"China Telecom Global Limited (“CTG”) is the wholly owned international business subsidiary of China Telecom, one of the world’s largest providers of integrated telecommunication services. This is a one-year secondment contract (renewable) designed for fresh graduates to gain career insights and develop technical know-how. You will provide 7x24 technical support for network operations, incidents, and troubleshooting; apply technical knowledge in large-scale projects including design, planning, implementation, and project delivery; and build relationships with stakeholders to enhance business understanding. Upon successful completion with satisfactory performance, you may be eligible for career advancement and a salary increase.","Higher diploma or above in Information Technology, Computer Science, Electrical Engineering, Cloud computing, or Data Center Administration related disciplines; passion for the IT industry; willingness to work on a shift basis (7x24); basic knowledge in physical and virtual server switches, firewalls, and routers.","Tsuen Wan / Lai Chi Kok, Hong Kong",Not specified,https://hk.indeed.com/viewjob?jk=d55bd94d280a47e3,indeed,03/11/2025,Not specified,"Apply via Company website by clicking ""Apply Now"""
87,86,E-commerce Marketing Specialist,"Tech Data, a TD SYNNEX Company",Not specified,"We are looking for a strategic and creative Ecommerce Marketing Executive who combines strong UX design capabilities with a performance-driven mindset. This role is responsible for designing intuitive user experiences and managing the commercial success of our B2B ecommerce platform. You will ensure the platform is visually engaging, functionally seamless, and commercially optimized to drive customer engagement and revenue growth. Key responsibilities include monitoring platform performance, updating content, planning campaigns, coordinating with product teams, and improving customer acquisition and retention through UX enhancements.","Tertiary Education in Marketing, Business, Ecommerce, or a related field. At least 3 years of experience in digital marketing, Ecommerce or channel marketing. Experience with IT vendors or distribution environment is a plus. Familiarity with ecommerce platforms and CMS, design tools such as Adobe, responsive design, and accessibility standards. Proven ability in planning and optimizing digital campaigns, paid media, content creation, and performance tracking. Strong communication, project management, analytical, and collaboration skills. Fluent in English; willingness to learn and adapt to new technologies.",HK,Not specified,https://hk.indeed.com/viewjob?jk=1da4c8e38ea0ee15,indeed,03/11/2025,Not specified,Online through company system
88,87,AI Language Data Consultant.,Fano Labs Limited,https://hk.indeed.com/cmp/Fano-Labs-Limited,"From 0 to 1, conduct data research and find ways to deliver data for new markets and languages. Conduct cross-team collaboration to fulfill data needs and provide insights. Collaborate with Product team for language and market readiness. Support R&D with AI model data and iterative sourcing. Assist Customer Success and BD teams in client projects and data acquisition. Define project requirements, plan, and deliver high-quality, on-time, within-budget data labeling/collection projects. Perform hands-on quality checks to meet accuracy targets. Communicate project plans and progress across teams. Source vendors and freelancers. Provide training on labeling rules and software.","Open to working with new languages and markets such as ASEAN and Taiwan. Able to collaborate with language consultants. Self-motivated, goal-driven, dependable, resilient, responsive, and flexible. Strong follow-through mentality. Good sense of milestones and deadlines. Proactive self-starter with energy. Open-minded, easy-going, team-oriented. Values proactive and timely communication. Enjoys learning and growth. Bachelor’s degree or above in business, linguistics, or data-related fields. 2+ years in tech industry, preferably in AI companies with speech recognition experience. Fluent in English and Chinese (Mandarin or Cantonese); other language skills a plus.",HK,Not specified,https://hk.indeed.com/viewjob?jk=8a8a51791416b6f6,indeed,03/11/2025,Not specified,Not specified
89,88,"Senior Specialist / Specialist, Content Marketing, PR & SEO",10Life Group Limited,https://hk.indeed.com/cmp/10life-Group-Limited,"Create high-quality content, drive PR, and enhance organic growth across SEO and GEO/AI search visibility. Responsibilities include producing consumer-friendly insurance and health education content, managing PR campaigns, leading SEO/GEO initiatives, executing digital campaigns, developing product content, and coordinating with agencies and freelancers.","Degree in Journalism, Communications, Marketing, Language Studies or related field. For Senior Specialist: 4–6 years in content/PR/SEO, finance/insurance experience preferred. For Specialist: 1–3 years with strong portfolio. Excellent written and spoken Cantonese and English; Traditional Chinese writing preferred. Proficiency in SEO tools (GA4, GSC, SEMrush, Ahrefs), CMS, and basic HTML. Strong writing, editing, PR, and data analysis skills. Proactive, collaborative, and growth-oriented mindset.",HK,Not specified,https://hk.indeed.com/viewjob?jk=2018229e64d5ee10,indeed,03/11/2025,Not specified,Not specified
90,89,Senior B2B Marketing Specialist – Technology (25k – 40k) [IANG TTPS are welcome],Lloyd Karson International Limited,https://hk.indeed.com/cmp/Lloyd-Karson-International-Limited,"The client is an AI Technology Company seeking a Senior B2B Marketing Specialist – Technology (HKD25k – 40k + Bonus) to develop and implement brand marketing strategies, create promotional content, manage media and KOL relationships, analyze campaign performance, and collaborate with internal teams to support product development and market positioning in Hong Kong and Mainland China.","Bachelor’s degree or above in Marketing, Communications, Business Administration, or related field; at least 3+ years of brand or campaign marketing experience in the technology industry; fluent in Mandarin and English, Cantonese is a plus; ability to work independently in a startup environment; familiarity with Hong Kong and Mainland China markets.",HK,"HKD25,000 – 40,000 + Bonus",https://hk.indeed.com/viewjob?jk=893fa6117186ae6f,indeed,03/11/2025,Not specified,"Click ""APPLY NOW"" or send resume to arthurwong(at)lloydkarson.com with reference: 1863235"
91,90,Business Analyst.,Fano Labs Limited,https://hk.indeed.com/cmp/Fano-Labs-Limited,"Learn and master product features and act as application specialist to present our product values to clients. Gather user requirements and translate them into actionable items for implementation. Prepare project/product documents such as User Requirement Document, Use Cases, User Manual, UAT Test Plan, etc. Receive and manage clients’ reported issues and provide initial investigation and response. Troubleshoot issues by analyzing error logs and track issue status with proper follow-up. Work across internal teams and external partners to ensure project success. Offer professional user training and support to clients on enterprise products. Keen on learning and quick to adopt new technologies for practical project deliverables.","Bachelor’s degree in Finance, Business Management, Project Management, Information System, or Computer Science. Minimum 2+ years of experience in a consultant or support role in application/software project delivery. Sound knowledge of SaaS products, cloud/on-premises hosting, project management, and web/app applications is an advantage. Excellent communication and presentation skills. Fluent in English, Cantonese, and Mandarin. Fresh graduates with passion in the digital industry will also be considered.",HK,Not specified,https://hk.indeed.com/viewjob?jk=6e7f94f1c748afec,indeed,03/11/2025,Not specified,Not specified
92,91,"Analyst, Data Governance, Business Operations",BOC International,http://www.bocintl.com,"Assist in rolling out data solutions and initiatives, perform data analysis and mining for business/regulatory requirements, conduct qualitative and quantitative analysis to identify data quality risks, support data management projects, coordinate regional offices in data-related projects, and resolve project issues.","Bachelor’s degree in Data Science, Information System, Computer Science, or related field; 2 years of experience in data analysis and quality control, preferably in banking/financial services; hands-on experience with SQL, Python, or BI tools is an advantage; strong analytical and communication skills; proficient in Chinese and English, preferably fluent in Putonghua.",HK,Not specified,https://hk.indeed.com/viewjob?jk=20075f4d9e670a00,indeed,02/11/2025,Not specified,"Submit full resume, academic record, current and expected salaries in strict confidence"
93,92,"Associate, Data Standards Specialist, Business Operations",BOC International,http://www.bocintl.com,"The role involves formulating data standards guidelines, driving data standardization across the firm, developing and maintaining metadata, providing data standard training, and leading data quality improvement activities. The position also includes updating data-related policies, ensuring compliance with internal and external requirements, implementing Head Office policies, and facilitating firm-wide data initiatives while managing local requirements and system changes.","Bachelor’s degree in Information System, Business Management, Translation, or a related field; minimum 5 years of experience in data standardization or data management, preferably in banking or financial services; strong data management skills; excellent communication and problem-solving abilities; experience interpreting PRC regulations is advantageous; proficiency in Chinese and English, with native-level Putonghua preferred.",HK,Not specified,https://hk.indeed.com/viewjob?jk=f835116b9c56a713,indeed,02/11/2025,Not specified,"Submit full resume, academic record, current and expected salaries in strict confidence"
94,93,"Associate, Data Quality Management Specialist, Business Operations",BOC International,http://www.bocintl.com,"The role involves leading data quality and analysis initiatives, driving qualitative and quantitative analysis to identify data quality risks, collaborating with IT and business stakeholders on data remediation, and managing data management projects across regional offices. The position supports regulatory and business requirements in a financial services environment.","Bachelor’s degree in Data Science, Information System, Computer Science, or related field; minimum 5 years of experience in data analysis and data quality control, preferably in banking/financial services; strong analytical skills; hands-on experience with SQL, Python, or BI tools is an advantage; PMP or programming certifications preferred; proficient in Chinese and English, with fluency in Putonghua preferred.",HK,Not specified,https://hk.indeed.com/viewjob?jk=6870566156799ee1,indeed,02/11/2025,Not specified,"Apply in strict confidence with full resume, academic record, current and expected salaries"
95,94,Business Analyst (2-5 years of experience),FDM Group HK Limited,https://hk.indeed.com/cmp/Fdm-Group-Hk-Limited,"We are seeking motivated and detail-oriented Business Analysts with 2–5 years of experience to support transformative projects in the financial services industry under Data and Digital Transformation teams. Key responsibilities include gathering and analyzing business requirements, collaborating with stakeholders and technical teams, developing project documentation, facilitating workshops, supporting change management, and ensuring effective communication across all levels.","Bachelor’s degree in Business, Finance, Information Systems, or a related field. 2–5 years of experience as a Business Analyst. Knowledge of Agile methodology and experience in fast-paced Agile environments. Excellent communication and interpersonal skills.",HK,Not specified,https://hk.indeed.com/viewjob?jk=adce55f848bae6cd,indeed,01/11/2025,Not specified,Not specified
97,96,"Manager or Assistant Manager, Actuarial (Pricing)",FUBON LIFE INSURANCE (HONG KONG) COMPANY LIMITED,https://hk.indeed.com/cmp/Fubon-Life-Insurance-(hong-Kong)-Company-Limited,"Report to the pricing actuary and support pricing duties including profitability analysis on new product pricing/product revamp, preparation of product approval documents to Group office, product materials review, and reinsurance analysis and negotiation with focus on capital optimization. Conduct annual review on non-guaranteed elements and experience studies to ensure compliance with GL34 requirements on participating products. Liaise internally with departments such as investment, underwriting, and operations. Guide junior staff in product implementation and user acceptance testing.",At least 7 years of working experience in life insurance companies (candidates with less experience may be considered as Assistant Manager). Attained or close to FSA. Strong technical and analytical skills. Good communication and management skills. Ability to work independently and under pressure.,HK,Not specified,https://hk.indeed.com/viewjob?jk=6150d64b0af4e565,indeed,01/11/2025,Not specified,Online through their system
99,98,Specialized Analytics Lead Analyst - Vice President,Citi,http://www.citigroup.com,"The Specialized Analytics Lead Analyst is a strategic professional who contributes to directional strategy through application of analytics and AI in credit risk management. The role involves driving AI/ML development, particularly Generative AI and Large Language Models, for Wholesale Lending and Counterparty Credit Risk analytics. The candidate will work with large and complex datasets to design and implement early warning indicators, risk-driven solutions for limits and exception management, and support the full lifecycle of analytic models. The position is part of the Institutional Credit Management – Portfolio Management Analytics team, collaborating across global locations.","6-10 years of experience in AI/ML, preferably in finance/risk analytics; strong programming skills in Python, C, SQL, Spark; solid knowledge of machine learning models (e.g., Logistic Regression, SVM, XGBoost); hands-on experience with LLMs (Llama, Mistral, GPT, RAG, fine-tuning, prompt engineering), Vector DB, LangChain, LlamaIndex; familiarity with graph analytics tools (TigerGraph, Neo4j) is a plus; background in wholesale credit risk analytics is advantageous; excellent analytical, problem-solving, communication, and interpersonal skills; bachelor’s degree required, master’s preferred.","Kowloon City, KOW, HK",Not specified,https://hk.indeed.com/viewjob?jk=b8f1f221f3b62701,indeed,31/10/2025,Not specified,Not specified
100,99,Manager Credit Risk Analytics,HSBC,https://www.hsbc.com,"The Credit Risk Analytics Manager is responsible for supporting the Regional Head of Wholesale Credit Analytics in developing wholesale credit IRB models and providing analytics support in Asia Pacific. The role ensures global consistency in wholesale IRB credit methodology, policies, and systems, and provides consultation on risk analytics including Stress Testing, IFRS9, Economic Capital, and Climate Risk. The position aims to improve risk-related capital measurement, align Risk with Business/Support functions, and align regional analytics with Global Analytics through collaboration with Group Risk.","Good understanding of credit (PD/EAD/LGD) modelling in the wholesale environment; experience in the banking industry, particularly in Risk and corporate business lines; hands-on experience in stress testing and Basel modelling and validation; familiarity with Basel and HKMA regulatory capital rules; proficiency in programming languages such as Python, SAS, or R; strong communication, people, and management skills; ability to build effective relationships across all organizational levels; capable of working in a dynamic, multinational, high-pressure environment.","Kowloon City, KOW, HK",Not specified,https://hk.indeed.com/viewjob?jk=3801dff2c641924c,indeed,31/10/2025,Not specified,Not specified
